Id,Predictions
1,1970
2,1970
3,1970
4,1970
5,1970
6,1970
7,1970
8,1970
9,1970
10,1970
11,1970
12,1970
13,1970
14,1970
15,1970
16,1970
17,1970
18,1970
19,1970
20,1970
21,1970
22,1970
23,1970
24,1970
25,1970
26,1970
27,1970
28,1970
29,1970
30,1970
31,1970
32,1970
33,1970
34,1970
35,1970
36,1970
37,1970
38,1970
39,1970
40,1970
41,1970
42,1970
43,1970
44,1970
45,1970
46,1970
47,1970
48,1970
49,1970
50,1970
51,1970
52,1970
53,1970
54,1970
55,1970
56,1970
57,1970
58,1970
59,1970
60,1970
61,1970
62,1970
63,1970
64,1970
65,1970
66,1970
67,1970
68,1970
69,1970
70,1970
71,1970
72,1970
73,1970
74,1970
75,1970
76,1970
77,1970
78,1970
79,1970
80,1970
81,1970
82,1970
83,1970
84,1970
85,1970
86,1970
87,1970
88,1970
89,1970
90,1970
91,1970
92,1970
93,1970
94,1970
95,1970
96,1970
97,1970
98,1970
99,1970
100,1970
101,1970
102,1970
103,1970
104,1970
105,1970
106,1970
107,1970
108,1970
109,1970
110,1970
111,1970
112,1970
113,1970
114,1970
115,1970
116,1970
117,1970
118,1970
119,1970
120,1970
121,1970
122,1970
123,1970
124,1970
125,1970
126,1970
127,1970
128,1970
129,1970
130,1970
131,1970
132,1970
133,1970
134,1970
135,1970
136,1970
137,1970
138,1970
139,1970
140,1970
141,1970
142,1970
143,1970
144,1970
145,1970
146,1970
147,1970
148,1970
149,1970
150,1970
151,1970
152,1970
153,1970
154,1970
155,1970
156,1970
157,1970
158,1970
159,1970
160,1970
161,1970
162,1970
163,1970
164,1970
165,1970
166,1970
167,1970
168,1970
169,1970
170,1970
171,1970
172,1970
173,1970
174,1970
175,1970
176,1970
177,1970
178,1970
179,1970
180,1970
181,1970
182,1970
183,1970
184,1970
185,1970
186,1970
187,1970
188,1970
189,1970
190,1970
191,1970
192,1970
193,1970
194,1970
195,1970
196,1970
197,1970
198,1970
199,1970
200,1970
201,1970
202,1970
203,1970
204,1970
205,1970
206,1970
207,1970
208,1970
209,1970
210,1970
211,1970
212,1970
213,1970
214,1970
215,1970
216,1970
217,1970
218,1970
219,1970
220,1970
221,1970
222,1970
223,1970
224,1970
225,1970
226,1970
227,1970
228,1970
229,1970
230,1970
231,1970
232,1970
233,1970
234,1970
235,1970
236,1970
237,1970
238,1970
239,1970
240,1970
241,1970
242,1970
243,1970
244,1970
245,1970
246,1970
247,1970
248,1970
249,1970
250,1970
251,1970
252,1970
253,1970
254,1970
255,1970
256,1970
257,1970
258,1970
259,1970
260,1970
261,1970
262,1970
263,1970
264,1970
265,1970
266,1970
267,1970
268,1970
269,1970
270,1970
271,1970
272,1970
273,1970
274,1970
275,1970
276,1970
277,1970
278,1970
279,1970
280,1970
281,1970
282,1970
283,1970
284,1970
285,1970
286,1970
287,1970
288,1970
289,1970
290,1970
291,1970
292,1970
293,1970
294,1970
295,1970
296,1970
297,1970
298,1970
299,1970
300,1970
301,1970
302,1970
303,1970
304,1970
305,1970
306,1970
307,1970
308,1970
309,1970
310,1970
311,1970
312,1970
313,1970
314,1970
315,1970
316,1970
317,1970
318,1970
319,1970
320,1970
321,1970
322,1970
323,1970
324,1970
325,1970
326,1970
327,1970
328,1970
329,1970
330,1970
331,1970
332,1970
333,1970
334,1970
335,1970
336,1970
337,1970
338,1970
339,1970
340,1970
341,1970
342,1970
343,1970
344,1970
345,1970
346,1970
347,1970
348,1970
349,1970
350,1970
351,1970
352,1970
353,1970
354,1970
355,1970
356,1970
357,1970
358,1970
359,1970
360,1970
361,1970
362,1970
363,1970
364,1970
365,1970
366,1970
367,1970
368,1970
369,1970
370,1970
371,1970
372,1970
373,1970
374,1970
375,1970
376,1970
377,1970
378,1970
379,1970
380,1970
381,1970
382,1970
383,1970
384,1970
385,1970
386,1970
387,1970
388,1970
389,1970
390,1970
391,1970
392,1970
393,1970
394,1970
395,1970
396,1970
397,1970
398,1970
399,1970
400,1970
401,1970
402,1970
403,1970
404,1970
405,1970
406,1970
407,1970
408,1970
409,1970
410,1970
411,1970
412,1970
413,1970
414,1970
415,1970
416,1970
417,1970
418,1970
419,1970
420,1970
421,1970
422,1970
423,1970
424,1970
425,1970
426,1970
427,1970
428,1970
429,1970
430,1970
431,1970
432,1970
433,1970
434,1970
435,1970
436,1970
437,1970
438,1970
439,1970
440,1970
441,1970
442,1970
443,1970
444,1970
445,1970
446,1970
447,1970
448,1970
449,1970
450,1970
451,1970
452,1970
453,1970
454,1970
455,1970
456,1970
457,1970
458,1970
459,1970
460,1970
461,1970
462,1970
463,1970
464,1970
465,1970
466,1970
467,1970
468,1970
469,1970
470,1970
471,1970
472,1970
473,1970
474,1970
475,1970
476,1970
477,1970
478,1970
479,1970
480,1970
481,1970
482,1970
483,1970
484,1970
485,1970
486,1970
487,1970
488,1970
489,1970
490,1970
491,1970
492,1970
493,1970
494,1970
495,1970
496,1970
497,1970
498,1970
499,1970
500,1970
501,1970
502,1970
503,1970
504,1970
505,1970
506,1970
507,1970
508,1970
509,1970
510,1970
511,1970
512,1970
513,1970
514,1970
515,1970
516,1970
517,1970
518,1970
519,1970
520,1970
521,1970
522,1970
523,1970
524,1970
525,1970
526,1970
527,1970
528,1970
529,1970
530,1970
531,1970
532,1970
533,1970
534,1970
535,1970
536,1970
537,1970
538,1970
539,1970
540,1970
541,1970
542,1970
543,1970
544,1970
545,1970
546,1970
547,1970
548,1970
549,1970
550,1970
551,1970
552,1970
553,1970
554,1970
555,1970
556,1970
557,1970
558,1970
559,1970
560,1970
561,1970
562,1970
563,1970
564,1970
565,1970
566,1970
567,1970
568,1970
569,1970
570,1970
571,1970
572,1970
573,1970
574,1970
575,1970
576,1970
577,1970
578,1970
579,1970
580,1970
581,1970
582,1970
583,1970
584,1970
585,1970
586,1970
587,1970
588,1970
589,1970
590,1970
591,1970
592,1970
593,1970
594,1970
595,1970
596,1970
597,1970
598,1970
599,1970
600,1970
601,1970
602,1970
603,1970
604,1970
605,1970
606,1970
607,1970
608,1970
609,1970
610,1970
611,1970
612,1970
613,1970
614,1970
615,1970
616,1970
617,1970
618,1970
619,1970
620,1970
621,1970
622,1970
623,1970
624,1970
625,1970
626,1970
627,1970
628,1970
629,1970
630,1970
631,1970
632,1970
633,1970
634,1970
635,1970
636,1970
637,1970
638,1970
639,1970
640,1970
641,1970
642,1970
643,1970
644,1970
645,1970
646,1970
647,1970
648,1970
649,1970
650,1970
651,1970
652,1970
653,1970
654,1970
655,1970
656,1970
657,1970
658,1970
659,1970
660,1970
661,1970
662,1970
663,1970
664,1970
665,1970
666,1970
667,1970
668,1970
669,1970
670,1970
671,1970
672,1970
673,1970
674,1970
675,1970
676,1970
